,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid_port,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_port,G1_port,G2_port,G3_port,port,paid_math,absences_math,G1_math,G2_math,G3_math,math,school_num,sex_num,address_num,famsize_num,Pstatus_num,Mjob_num,Fjob_num,reason_num,guardian_num,schoolsup_num,famsup_num,activities_num,nursery_num,higher_num,internet_num,romantic_num,paid_port_num,paid_math_num
0,GP,F,18.0,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,4.0,0.0,11.0,11.0,1.0,no,6.0,5.0,6.0,6.0,1.0,0,0,0,1,1,3,0,2,0,0,1,1,0,0,1,1,1.0,1.0
1,GP,F,17.0,U,GT3,T,1.0,1.0,at_home,other,course,father,1.0,2.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,3.0,2.0,9.0,11.0,11.0,1.0,no,4.0,5.0,5.0,6.0,1.0,0,0,0,1,0,3,4,2,1,1,0,1,1,0,0,1,1.0,1.0
2,GP,F,15.0,U,LE3,T,1.0,1.0,at_home,other,other,mother,1.0,2.0,0.0,yes,no,no,no,yes,yes,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,6.0,12.0,13.0,12.0,1.0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,3,4,3,0,0,1,1,0,0,0,1,1.0,nan
3,GP,F,15.0,U,GT3,T,4.0,2.0,health,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,0.0,14.0,14.0,14.0,1.0,yes,2.0,15.0,14.0,15.0,1.0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,1.0,0.0
4,GP,F,16.0,U,GT3,T,3.0,3.0,other,other,home,father,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,3.0,2.0,1.0,2.0,5.0,0.0,11.0,13.0,13.0,1.0,yes,4.0,6.0,10.0,10.0,1.0,0,0,0,1,0,4,4,0,1,1,0,1,0,0,1,1,1.0,0.0
5,GP,M,16.0,U,LE3,T,4.0,3.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,2.0,5.0,6.0,12.0,12.0,13.0,1.0,yes,10.0,15.0,15.0,15.0,1.0,0,1,0,0,0,2,4,1,0,1,0,0,0,0,0,1,1.0,0.0
6,GP,M,16.0,U,LE3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,13.0,12.0,13.0,1.0,no,0.0,12.0,12.0,11.0,1.0,0,1,0,0,0,4,4,0,0,1,1,1,0,0,0,1,1.0,1.0
7,GP,F,17.0,U,GT3,A,4.0,4.0,other,teacher,home,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4.0,1.0,1.0,1.0,2.0,10.0,13.0,13.0,1.0,no,6.0,6.0,5.0,6.0,1.0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,1,1,1.0,1.0
8,GP,M,15.0,U,LE3,A,3.0,2.0,services,other,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,15.0,16.0,17.0,1.0,yes,0.0,16.0,18.0,19.0,1.0,0,1,0,0,1,2,4,0,0,1,0,1,0,0,0,1,1.0,0.0
9,GP,M,15.0,U,GT3,T,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,12.0,12.0,13.0,1.0,yes,0.0,14.0,15.0,15.0,1.0,0,1,0,1,0,4,4,0,0,1,0,0,0,0,0,1,1.0,0.0
10,GP,F,15.0,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,2.0,14.0,14.0,14.0,1.0,yes,0.0,10.0,8.0,9.0,1.0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1.0,0.0
11,GP,F,15.0,U,GT3,T,2.0,1.0,services,other,reputation,father,3.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,4.0,0.0,10.0,12.0,13.0,1.0,no,4.0,10.0,12.0,12.0,1.0,0,0,0,1,0,2,4,1,1,1,0,0,0,0,0,1,1.0,1.0
12,GP,M,15.0,U,LE3,T,4.0,4.0,health,services,course,father,1.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,3.0,5.0,0.0,12.0,13.0,12.0,1.0,yes,2.0,14.0,14.0,14.0,1.0,0,1,0,0,0,1,2,2,1,1,0,0,0,0,0,1,1.0,0.0
13,GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,0.0,12.0,12.0,13.0,1.0,yes,2.0,10.0,10.0,11.0,1.0,0,1,0,1,0,0,4,2,0,1,0,1,0,0,0,1,1.0,0.0
14,GP,M,15.0,U,GT3,A,2.0,2.0,other,other,home,other,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,3.0,0.0,14.0,14.0,15.0,1.0,no,0.0,14.0,16.0,16.0,1.0,0,1,0,1,1,4,4,0,2,1,0,1,0,0,0,0,1.0,1.0
15,GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,6.0,17.0,17.0,17.0,1.0,no,4.0,14.0,14.0,14.0,1.0,0,0,0,1,0,1,4,0,0,1,0,1,0,0,0,1,1.0,1.0
16,GP,F,16.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,10.0,13.0,13.0,14.0,1.0,yes,6.0,13.0,14.0,14.0,1.0,0,0,0,1,0,2,2,1,0,1,0,0,0,0,0,1,1.0,0.0
17,GP,F,16.0,U,GT3,T,3.0,3.0,other,other,reputation,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,1.0,4.0,2.0,13.0,14.0,14.0,1.0,no,4.0,8.0,10.0,10.0,1.0,0,0,0,1,0,4,4,1,0,0,0,0,0,0,1,1,1.0,1.0
18,GP,M,17.0,U,GT3,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,5.0,2.0,4.0,5.0,2.0,8.0,8.0,7.0,1.0,no,16.0,6.0,5.0,5.0,1.0,0,1,0,1,0,2,2,2,0,1,0,0,0,0,0,1,0.0,1.0
19,GP,M,16.0,U,LE3,T,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,6.0,12.0,12.0,12.0,1.0,yes,4.0,8.0,10.0,10.0,1.0,0,1,0,0,0,1,4,0,1,1,1,0,0,0,0,1,1.0,0.0
20,GP,M,15.0,U,GT3,T,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,12.0,13.0,14.0,1.0,no,0.0,13.0,14.0,15.0,1.0,0,1,0,1,0,0,4,1,0,1,1,1,0,0,0,1,1.0,1.0
21,GP,M,15.0,U,GT3,T,4.0,4.0,health,health,other,father,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,11.0,12.0,12.0,1.0,yes,0.0,12.0,15.0,15.0,1.0,0,1,0,1,0,1,1,3,1,1,0,1,0,0,0,1,0.0,0.0
22,GP,M,16.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,0.0,12.0,13.0,14.0,1.0,no,2.0,15.0,15.0,16.0,1.0,0,1,0,0,0,0,4,2,0,1,1,0,0,0,0,1,1.0,1.0
23,GP,M,16.0,U,LE3,T,2.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,2.0,10.0,10.0,10.0,1.0,no,0.0,13.0,13.0,12.0,1.0,0,1,0,0,0,4,4,1,0,1,0,0,0,0,0,1,1.0,1.0
24,GP,F,15.0,R,GT3,T,2.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,11.0,10.0,1.0,yes,2.0,10.0,9.0,8.0,1.0,0,0,1,1,0,2,1,2,0,0,0,0,0,0,0,1,1.0,0.0
25,GP,F,16.0,U,GT3,T,2.0,2.0,services,services,home,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,6.0,10.0,11.0,12.0,1.0,nan,nan,nan,nan,nan,nan,0,0,0,1,0,2,2,0,0,1,0,1,1,0,0,1,1.0,nan
